idPlayer,qtKill,qtAssist,qtDeath,qtHs,qtBombeDefuse,qtBombePlant,qtTk,qtTkAssist,qt1Kill,qt2Kill,qt3Kill,qt4Kill,qt5Kill,qtFirstKill,vlDamage,qtHits,qtShots,qtLastAlive,qtClutchWon,qtRoundsPlayed,qtSurvived,qtTrade,qtFlashAssist,qtHitHeadshot,qtHitChest,qtHitStomach,qtHitLeftAtm,qtHitRightArm,qtHitLeftLeg,qtHitRightLeg,gamesWinned,descMapName_de_ancient,descMapName_de_dust2,descMapName_de_inferno,descMapName_de_mirage,descMapName_de_nuke,descMapName_de_overpass,descMapName_de_train,descMapName_de_vertigo,KDA,hitRate,ADR,HSRate,gamesPlayed,winRate,weightedHitRate,brilliantPerformance,grade
2265,1777,386,1891,657,17,80,2.0,17.0,730,329,98,19,3,316,241689,6067.0,42956,46.0,34,2525,586.0,280.0,55.0,860.0,2681.0,1345.0,164.0,528.0,232.0,257.0,44,2,15,24,27,9,7,5,11,1.143839238498149,0.1412375453952882,95.71841584158416,0.020020486078778283,100,0.44,0.16355223950088466,2.0095,D
2266,461,101,518,152,8,21,0.0,13.0,208,86,19,6,0,69,62587,1775.0,11473,15.0,9,730,195.0,81.0,18.0,199.0,746.0,473.0,70.0,138.0,64.0,85.0,12,1,4,8,9,3,1,0,2,1.084942084942085,0.1547110607513292,85.73561643835616,0.017345071036346204,28,0.42857142857142855,0.17438071995118978,1.651785714285714,E
2268,118,21,121,49,3,3,0.0,1.0,46,17,10,2,0,17,15549,341.0,2499,6.0,4,165,37.0,18.0,3.0,57.0,178.0,46.0,10.0,31.0,10.0,9.0,3,0,0,0,4,0,0,0,2,1.1487603305785123,0.1364545818327331,94.23636363636363,0.022809123649459785,6,0.5,0.16907563025210084,2.391666666666667,C
2269,2200,385,1820,1017,30,100,2.0,30.0,805,408,139,32,6,284,280191,6664.0,47980,65.0,52,2608,720.0,311.0,56.0,1287.0,3065.0,1259.0,171.0,499.0,200.0,183.0,51,4,5,30,21,3,10,9,18,1.4203296703296704,0.13889120466861193,107.43519938650307,0.026823676531888288,100,0.51,0.17203689037098796,2.767,B
2270,2172,432,1964,820,36,128,3.0,12.0,816,412,137,26,3,340,288833,8120.0,55947,55.0,41,2736,711.0,321.0,28.0,1047.0,3723.0,1722.0,279.0,733.0,286.0,330.0,45,1,8,28,20,4,22,5,12,1.3258655804480652,0.14513736214631706,105.56761695906432,0.01871414016837364,100,0.45,0.16714694264214344,2.401,B
2271,295,85,476,123,6,35,1.0,4.0,181,48,3,2,0,25,42085,1220.0,10540,3.0,2,614,131.0,69.0,2.0,167.0,527.0,297.0,39.0,81.0,47.0,62.0,10,0,2,6,7,6,1,1,0,0.7983193277310925,0.1157495256166983,68.54234527687296,0.01584440227703985,23,0.43478260869565216,0.13272770398481973,1.2760869565217392,G
2272,516,64,452,209,12,34,0.0,2.0,198,95,31,5,3,81,62590,1288.0,11369,21.0,15,662,186.0,81.0,14.0,249.0,629.0,219.0,34.0,95.0,32.0,30.0,12,0,1,1,12,2,1,1,6,1.2831858407079646,0.11329052687131674,94.54682779456193,0.02190166241533996,24,0.5,0.1440513677544199,2.5541666666666667,C
2273,2105,384,1904,841,27,100,1.0,20.0,844,375,126,28,4,374,270462,6687.0,42552,57.0,52,2674,689.0,278.0,59.0,1070.0,3112.0,1321.0,167.0,539.0,226.0,252.0,62,2,16,19,48,0,6,1,8,1.3072478991596639,0.15714890016920474,101.1451009723261,0.025145704079714233,100,0.62,0.1877836529422824,2.5300000000000002,B
2274,6,8,24,1,0,1,0.0,0.0,4,1,0,0,0,0,1447,57.0,318,0.0,0,24,1.0,7.0,0.0,3.0,24.0,15.0,4.0,3.0,2.0,6.0,0,0,0,0,1,0,0,0,0,0.5833333333333334,0.1792452830188679,60.291666666666664,0.009433962264150943,1,0.0,0.17544025157232704,0.2,G
2275,399,99,470,128,6,9,0.0,5.0,198,72,16,2,0,51,53121,1624.0,9108,22.0,8,649,159.0,73.0,6.0,176.0,634.0,419.0,43.0,133.0,88.0,131.0,10,0,8,8,2,0,1,5,1,1.0595744680851065,0.17830478700043917,81.85053929121726,0.01932367149758454,25,0.4,0.19336078173034693,1.462,F
